med_category,decision,itemid,label,abbreviation,linksto,category,unitname,param_type,count,value_instances,amountuom_instances,rateuom_instances,ordercategoryname_instances,secondaryordercategoryname_instances,ordercategorydescription_instances,note
magnesium,NO MAPPING,220422,Magnesium (ingr),Mg (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,"TO MAP, AS IS",220949,Dextrose 5%,Dextrose 5%,inputevents,Fluids/Intake,mL,Solution,1234818,"Rate: -118.5, 14.32, 30000.0; Amount: -8.24, 77.66, 100500.0",mL: 779247,"mL/hour: 779241, mL/min: 5, mL/kg/hour: 1","01-Drips: 701963, 08-Antibiotics (IV): 453573, 02-Fluids (Crystalloids): 77284, 03-IV Fluid Bolus: 1998","02-Fluids (Crystalloids): 1155536, Additive (Crystalloid): 77284","Continuous Med: 701963, Drug Push: 453573, Continuous IV: 77284, Bolus: 1998",
dextrose,"TO MAP, ELSEWHERE",220952,Dextrose 50%,Dextrose 50%,inputevents,Fluids/Intake,mL,Solution,16333,"Rate: , , ; Amount: 0.0, 25.0, 240.0",,,05-Med Bolus: 16333,,Drug Push: 16333,
dextrose,"TO MAP, AS IS",220950,Dextrose 10%,Dextrose 10%,inputevents,Fluids/Intake,mL,Solution,5429,"Rate: 0.5, 40.45, 1525.42; Amount: 0.08, 209.72, 2000.0","mL: 5422, L: 2",mL/hour: 5424,"02-Fluids (Crystalloids): 5424, 03-IV Fluid Bolus: 5",Additive (Crystalloid): 5424,"Continuous IV: 5424, Bolus: 5",
dextrose,"TO MAP, AS IS",225947,Dextrose PN,Dextrose PN,inputevents,Nutrition - Parenteral,grams,Solution,4044,"Rate: , , ; Amount: 0.07, 208.63, 2100.0",,,12-Parenteral Nutrition: 4044,Additives (PN): 4044,Continuous IV: 4044,
dextrose,"TO MAP, AS IS",228140,Dextrose 20%,Dextrose 20%,inputevents,"Continuous IV: 741, Continuous Med: 50",mL,Solution,791,"Rate: 2.0, 49.95, 731.71; Amount: 0.17, 247.58, 1006.7",mL: 791,mL/hour: 791,"02-Fluids (Crystalloids): 741, 01-Drips: 50","Additive (Crystalloid): 741, 02-Fluids (Crystalloids): 50",,
dextrose,"TO MAP, AS IS",228142,Dextrose 40%,Dextrose 40%,inputevents,Fluids/Intake,mL,Solution,59,"Rate: 5.0, 25.0, 357.14; Amount: 3.0, 236.0, 1000.0",mL: 59,mL/hour: 59,02-Fluids (Crystalloids): 59,Additive (Crystalloid): 59,Continuous IV: 59,
dextrose,"TO MAP, AS IS",228141,Dextrose 30%,Dextrose 30%,inputevents,Fluids/Intake,mL,Solution,24,"Rate: 8.0, 100.76, 199.78; Amount: 8.0, 447.55, 1000.0",mL: 24,mL/hour: 24,02-Fluids (Crystalloids): 24,Additive (Crystalloid): 24,Continuous IV: 24,
dextrose,NO MAPPING,220967,Dextrose 5% / Ringers Lactate,Dextrose 5% / Ringers Lactate,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220966,"Dextrose 2,5% / Saline 0,45%","Dextrose 2,5% / Saline 0,45%",inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220964,"Dextrose 5% / Saline 0,9%","Dextrose 5% / Saline 0,9%",inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220965,"Dextrose 5% / Saline 0,45%","Dextrose 5% / Saline 0,45%",inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220951,Dextrose 20.%,Dextrose 20.%,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220963,"Dextrose 4,3% / Saline 0,18%","Dextrose 4,3% / Saline 0,18%",inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,221002,Dextran 70 / Dextrose 5% (Gentran - Macrodex - RescueFlow),Dextran 70 / Dextrose 5%,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,221017,"Dextrose 2,5%","Dextrose 2,5%",inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,221014,Dextrose 19%,Dextrose 19%,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,220968,Dextrose 10% / Ringers Lactate,Dextrose 10% / Ringers Lactate,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
dextrose,NO MAPPING,221000,Dextran 40 / Dextrose 5% (Gentran - Rheomacrodex),Dextran 40 / Dextrose 5%,inputevents,Fluids - Other (Not In Use),mL,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
aminocaproic,"TO MAP, AS IS",229058,Aminocaproic acid (Amicar),Aminocaproic acid (Amicar),inputevents,Medications,grams,Solution,287,"Rate: 0.5, 1.02, 5000.0; Amount: 0.02, 6.1, 10000.0","grams: 223, mg: 64","grams/hour: 241, mg/hour: 46",01-Drips: 287,02-Fluids (Crystalloids): 287,Continuous Med: 287,
aminocaproic,NO MAPPING,229249,Aminocaproic acid (Amicar),Aminocaproic acid (Amicar),inputevents,Medications,mg,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
aminophylline,"TO MAP, AS IS",221342,Aminophylline,Aminophylline,inputevents,Medications,mg,Solution,20,"Rate: 0.3, 0.3, 0.71; Amount: 67.52, 248.85, 250.0",mg: 20,mg/kg/hour: 20,01-Drips: 20,02-Fluids (Crystalloids): 20,Continuous Med: 20,
naloxone,SPECIAL CASE,222021,Naloxone (Narcan),Naloxone (Narcan),inputevents,Medications,mg,Solution,754,"Rate: 0.0, 0.2, 400.0; Amount: 0.0, 0.4, 4000.0",mg: 415,"mg/hour: 266, mcg/kg/min: 140, mcg/hour: 9","01-Drips: 415, 05-Med Bolus: 339",02-Fluids (Crystalloids): 415,"Continuous Med: 415, Drug Push: 339",
